0,0,0,0,0,0
8,9,8,9,10,0
12,13,12,13,14,4
10782516,10782516,10782514,10782516,10782519,10782508
0,0,2,0,-7,-7
0,0,0,0,0,0
2,0,2,1,-7,-7
10782513,3707776,6605111,2127376,6550123,5050065
10,9,8,8,0,0
6,2,2,3,-3,-3
0,0,0,0,0,0
10782515,6137110,3703444,3705607,5052236,4415542
4,2,2,2,-5,-5
6,2,5,3,-3,-3
4,2,3,1,-5,-5
0,0,0,0,0,0
17,18,17,18,9,19
11,10,11,10,1,9
15,14,13,14,5,13
10782520,10782519,10782517,10782518,10782510,10782517
0,0,0,0,0,0
7,8,8,9,0,0
11,12,12,13,3,3
5205977,6108709,5245579,10782518,5045619,5624973
3,2,2,1,-6,-6
0,0,0,0,0,0
3,1,0,1,-6,-6
10782514,4865930,5623425,6107011,5621459,3229291
9,6,7,7,0,0
5,3,3,4,-4,-4
0,0,0,0,0,0
10782514,4394220,6103250,5031173,4162437,4983173
5,3,2,2,-4,-4
7,5,4,3,-2,-2
5,3,1,1,-4,-5
0,0,0,0,0,0
16,17,17,18,8,8
12,8,7,8,1,0
2,7,6,14,0,2
2625779,3451621,4385509,10782519,2922046,1078077
0,0,0,0,0,0
4,1,2,2,-5,-5
8,5,5,5,-1,-1
10782513,6511037,2048665,7271170,5622232,2922054
5,4,8,5,-1,-1
0,0,0,0,0,0
6,6,8,6,-1,-1
6140950,7022887,10782519,4408377,7168304,3702123
8,5,5,6,-2,-2
4,2,1,2,-5,-5
0,0,0,0,0,0
10782513,6605140,6604946,3958902,7008989,4668889
6,4,6,4,-3,-3
8,7,7,7,-1,-1
6,4,6,3,-3,-3
0,0,0,0,-1,-1
13,4,0,3,1,1
15,16,17,16,7,7
13,4,4,1,0,1
0,0,8693244,1,0,-1
0,0,0,0,0,0
3,1,1,2,-6,-6
7,6,5,7,-2,-2
10782512,8239396,6605120,7921657,8507064,8666889
7,8,9,7,0,0
0,0,0,0,0,0
7,8,9,7,0,0
10782351,10782480,10782520,10782438,10782451,10782485
7,6,5,7,-2,-2
3,0,0,2,-7,-6
0,0,0,0,0,0
10782512,5500493,3708085,2099572,2608220,5624785
7,6,5,5,-2,-2
9,8,7,7,0,0
7,5,5,4,-2,-2
83128,0,0,0,-1,-1
12,11,10,12,2,2
16,17,18,16,8,8
12,11,10,12,2,2
10782523,3708116,5625279,4303053,2918011,4852246
0,0,0,0,0,0
2,1,0,1,-7,-7
4,4,3,6,-3,-3
5597258,2711759,6953736,10782511,6140429,5439088
8,9,9,8,10,0
0,0,0,0,0,0
8,9,9,8,10,0
10782519,10782519,10782520,10782518,10782521,10782511
4,4,4,6,-3,-3
2,1,0,0,-7,-7
0,0,0,0,0,0
10782511,6412409,2680666,4415530,5949750,4017488
5,5,4,6,-3,-3
7,6,6,8,-1,-1
6,4,3,3,-3,-3
0,0,0,0,0,0
11,10,10,11,1,9
17,18,18,17,9,19
11,10,10,11,1,9
10782522,10782519,10782517,10782510,10782512,10782517
0,0,0,0,0,0
7,9,7,8,0,0
11,13,11,12,3,3
10782514,10782518,10782511,10782512,10782506,10782507
2,0,3,0,-6,-6
0,0,0,0,0,0
3,1,3,2,-6,-6
8556804,8026895,10782514,7398847,9030233,7003846
11,9,9,10,1,1
7,5,5,6,-2,-2
0,0,0,0,0,0
10782516,9454743,8019643,8562125,8314376,8520612
5,3,5,4,-4,-4
7,5,7,6,-2,-2
5,3,5,4,-4,-4
0,0,0,0,0,0
16,18,16,17,8,8
12,10,12,11,2,2
16,14,14,15,6,6
10782521,10782519,10782521,10782516,10782511,10782510
0,0,0,0,0,0
6,8,7,8,-1,-1
10,12,11,12,2,2
8041746,7396254,8503859,10782517,7737182,7736763
4,2,3,2,-5,-5
0,0,0,0,0,0
4,2,3,2,-5,-5
10782515,9926590,9825040,8289463,9325948,10155485
10,8,9,10,0,0
6,4,5,6,-3,-3
0,0,0,0,0,0
